Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,37.029999,39.130001,37.000000,37.310001,36.706657,2880800
2020-04-02,37.380001,38.369999,36.759998,37.470001,36.864071,2912000
2020-04-03,37.400002,38.009998,35.009998,35.450001,34.876740,2446200
2020-04-06,36.880001,37.970001,36.209999,37.730000,37.119865,4434400
2020-04-07,38.689999,39.430000,37.950001,38.090000,37.474049,2516400
2020-04-08,38.549999,39.730000,37.869999,39.580002,38.939957,2394200
2020-04-09,39.820000,42.150002,39.279999,41.869999,41.192921,3700300
2020-04-13,41.250000,41.790001,39.720001,40.240002,39.589275,2754200
2020-04-14,40.549999,41.889999,40.349998,40.759998,40.100864,2739600
2020-04-15,39.520000,40.380001,39.180000,39.950001,39.303967,1376300
2020-04-16,39.840000,40.340000,38.930000,39.080002,38.448040,1761300
2020-04-17,40.169998,41.480000,39.869999,40.860001,40.199257,2223900
2020-04-20,40.259998,41.849998,40.000000,41.279999,40.612461,1357600
2020-04-21,40.700001,41.130001,39.619999,39.660000,39.018658,1543400
2020-04-22,40.189999,40.549999,39.680000,39.910000,39.264614,1247900
2020-04-23,40.290001,40.349998,38.650002,38.700001,38.074188,3103500
2020-04-24,38.709999,39.410000,38.490002,39.310001,38.674320,3112900
2020-04-27,39.680000,41.230000,39.680000,41.099998,40.435368,1987600
2020-04-28,41.860001,42.380001,40.759998,41.630001,40.956802,1799900
2020-04-29,42.299999,44.560001,42.200001,44.200001,43.485241,1975500
2020-04-30,43.459999,43.790001,42.410000,42.439999,41.753700,1566300
2020-05-01,41.709999,42.340000,40.150002,40.290001,39.638474,1650900
2020-05-04,40.200001,40.740002,39.099998,39.599998,38.959625,2657100
2020-05-05,40.110001,41.119999,40.049999,40.669998,40.012321,2901300
2020-05-06,40.770000,40.970001,39.970001,40.340000,39.687656,2442800
2020-05-07,40.950001,41.540001,40.599998,41.060001,40.396015,2736700
2020-05-08,41.869999,42.939999,40.029999,40.650002,39.992649,3377900
2020-05-11,39.799999,40.680000,38.930000,40.310001,39.658146,2906100
2020-05-12,40.389999,40.750000,36.959999,36.980000,36.381989,3191200
2020-05-13,36.939999,37.509998,36.320000,37.340000,36.736176,3220400
2020-05-14,36.860001,37.880001,36.119999,37.880001,37.267448,2929800
2020-05-15,37.820000,38.669998,37.139999,37.709999,37.100189,5570700
2020-05-18,38.540001,40.919998,38.490002,40.570000,39.913940,2580800
2020-05-19,40.570000,41.639999,39.880001,41.080002,40.415699,2696800
2020-05-20,41.290001,41.869999,40.770000,41.700001,41.025669,2260200
2020-05-21,41.599998,42.590000,41.169998,41.959999,41.281464,1938700
2020-05-22,41.880001,42.590000,40.630001,42.240002,41.556938,2015400
2020-05-26,43.389999,45.419998,43.389999,45.330002,44.596970,2846700
2020-05-27,46.959999,47.910000,46.490002,47.790001,47.017197,3521400
2020-05-28,47.980000,48.139999,46.820000,46.990002,46.230129,2610000
2020-05-29,46.610001,46.869999,45.810001,46.520000,45.767731,2465200
2020-06-01,46.240002,47.459999,45.919998,47.099998,46.338348,1075600
2020-06-02,47.430000,47.750000,46.830002,47.369999,46.603985,1871100
2020-06-03,48.090000,49.070000,47.630001,47.840000,47.066383,1946200
2020-06-04,47.650002,48.470001,47.090000,48.040001,47.263149,1425200
2020-06-05,49.180000,50.919998,49.180000,50.180000,49.368538,2303800
2020-06-08,49.990002,51.349998,49.930000,51.169998,50.342529,1632000
2020-06-09,50.599998,50.970001,48.340000,48.509998,47.725544,1716200
2020-06-10,48.220001,48.240002,46.490002,46.509998,45.757885,2355300
2020-06-11,45.730000,45.810001,42.959999,43.369999,42.668663,2720700
2020-06-12,44.889999,44.889999,42.450001,43.380001,42.678501,1978600
2020-06-15,42.400002,44.459999,42.040001,43.889999,43.180256,1393000
2020-06-16,44.080002,45.900002,44.080002,45.180000,44.449394,1778000
2020-06-17,45.490002,45.490002,44.330002,44.750000,44.026348,1083100
2020-06-18,44.299999,44.450001,43.330002,44.169998,43.455730,1917400
2020-06-19,44.919998,45.230000,43.480000,43.619999,42.914616,2458600
2020-06-22,43.709999,44.369999,42.410000,43.849998,43.140900,1571600
2020-06-23,44.330002,45.000000,43.889999,44.770000,44.046024,1764700
2020-06-24,44.150002,44.599998,42.740002,42.860001,42.166912,2669700
2020-06-25,42.650002,43.310001,41.750000,42.820000,42.226074,1990300
2020-06-26,42.709999,43.299999,42.470001,43.119999,42.521915,2770000
2020-06-29,43.680000,44.080002,43.200001,43.910000,43.300964,1063200
2020-06-30,43.959999,44.209999,43.549999,44.060001,43.448883,1861900
2020-07-01,44.080002,45.950001,44.080002,44.950001,44.326538,1920400
2020-07-02,45.470001,45.720001,44.040001,44.180000,43.567215,1170500
2020-07-06,44.779999,45.119999,44.310001,44.639999,44.020832,1039400
2020-07-07,44.250000,44.270000,43.189999,43.369999,42.768452,1457600
2020-07-08,43.250000,43.250000,41.410000,42.000000,41.417450,1513200
2020-07-09,41.650002,41.830002,40.150002,41.270000,40.697582,1666500
2020-07-10,41.380001,42.029999,41.060001,41.980000,41.397728,1118300
2020-07-13,42.430000,42.900002,41.660000,41.799999,41.220222,1441500
2020-07-14,41.919998,42.689999,41.599998,42.650002,42.058434,1780300
2020-07-15,43.500000,45.750000,43.490002,45.160000,44.533619,1903200
2020-07-16,44.759998,44.759998,44.060001,44.330002,43.715137,1006500
2020-07-17,44.430000,44.950001,44.080002,44.770000,44.149033,861900
2020-07-20,44.689999,45.119999,43.330002,43.480000,42.876926,1150800
2020-07-21,43.570000,44.500000,43.270000,43.840000,43.231930,1377100
2020-07-22,43.970001,44.590000,43.660000,44.070000,43.458744,1135500
2020-07-23,43.959999,44.459999,43.580002,43.980000,43.369984,1188500
2020-07-24,44.119999,44.119999,42.980000,43.240002,42.640255,1238500
2020-07-27,43.130001,43.529999,42.470001,43.450001,42.847347,1009700
2020-07-28,43.470001,43.869999,43.380001,43.500000,42.896648,1297800
2020-07-29,43.590000,45.330002,43.250000,44.790001,44.168758,983000
2020-07-30,44.060001,45.299999,43.799999,45.240002,44.612514,2120200
2020-07-31,44.919998,45.340000,43.970001,44.599998,43.981392,1332000
2020-08-03,44.709999,45.099998,44.360001,44.680000,44.060284,1110700
2020-08-04,44.669998,47.490002,44.500000,46.689999,46.042400,2839800
2020-08-05,47.279999,47.360001,46.220001,46.849998,46.200184,2169900
2020-08-06,44.439999,44.990002,42.320000,43.259998,42.659973,5080700
2020-08-07,43.419998,45.360001,43.349998,45.360001,44.730846,2843500
2020-08-10,45.450001,45.689999,44.680000,45.400002,44.770298,1574400
2020-08-11,45.709999,46.639999,45.230000,45.810001,45.174614,1898300
2020-08-12,46.119999,46.290001,44.860001,44.959999,44.336395,1460900
2020-08-13,44.959999,44.959999,44.080002,44.529999,43.912365,1768200
2020-08-14,44.540001,44.939999,44.090000,44.520000,43.902500,1051800
2020-08-17,44.580002,44.580002,43.320000,43.680000,43.074146,1613900
2020-08-18,43.650002,43.790001,43.169998,43.240002,42.640255,1388700
2020-08-19,43.299999,43.520000,42.380001,42.520000,41.930233,1581500
2020-08-20,42.259998,42.630001,41.650002,42.000000,41.417450,1303700
2020-08-21,41.849998,42.709999,41.599998,42.599998,42.009129,4204700
2020-08-24,43.259998,44.090000,42.980000,43.450001,42.847347,1588500
2020-08-25,43.509998,43.910000,43.490002,43.689999,43.084007,1216300
2020-08-26,43.689999,43.810001,43.040001,43.529999,42.926231,963100
2020-08-27,43.770000,44.869999,43.599998,44.730000,44.109592,1719500
2020-08-28,44.660000,45.470001,44.320000,45.320000,44.691399,1082400
2020-08-31,45.310001,45.310001,44.610001,44.869999,44.247643,1646900
2020-09-01,44.849998,44.869999,44.240002,44.849998,44.227917,1221700
2020-09-02,44.730000,45.930000,44.209999,45.730000,45.095722,1759700
2020-09-03,45.950001,46.369999,44.230000,44.560001,43.941948,1379900
2020-09-04,44.919998,45.400002,43.939999,44.759998,44.139168,1214900
2020-09-08,44.630001,44.630001,43.389999,43.669998,43.064281,930400
2020-09-09,43.910000,44.389999,43.490002,44.230000,43.616524,994700
2020-09-10,44.340000,45.000000,43.709999,43.720001,43.113594,927700
2020-09-11,43.980000,44.320000,43.770000,44.160000,43.547489,1287000
2020-09-14,44.529999,46.000000,44.450001,45.900002,45.263363,1176200
2020-09-15,46.000000,46.540001,45.669998,46.360001,45.716972,1213400
2020-09-16,46.730000,47.980000,46.279999,47.389999,46.732693,2119600
2020-09-17,47.020000,47.900002,46.259998,47.720001,47.058117,1575700
2020-09-18,47.869999,48.110001,46.220001,46.330002,45.687397,2139500
2020-09-21,45.500000,45.549999,43.810001,44.709999,44.089863,1431700
2020-09-22,44.689999,44.990002,44.090000,44.580002,43.961670,999200
2020-09-23,44.599998,44.830002,42.650002,42.730000,42.137329,1388700
2020-09-24,42.540001,43.220001,41.520000,42.650002,42.157097,970300
2020-09-25,42.500000,43.570000,42.209999,43.369999,42.868778,956800
2020-09-28,43.779999,44.279999,43.200001,43.310001,42.809467,1289000
2020-09-29,43.400002,43.669998,42.740002,42.750000,42.255939,1042800
2020-09-30,42.759998,44.150002,42.500000,43.730000,43.224617,1159900
2020-10-01,44.000000,44.599998,42.740002,43.509998,43.007156,671400
2020-10-02,42.790001,44.119999,42.669998,43.660000,43.155422,654200
2020-10-05,43.939999,44.919998,43.939999,44.810001,44.292137,507000
2020-10-06,44.910000,45.279999,43.959999,44.110001,43.600220,590100
2020-10-07,44.810001,45.180000,44.230000,45.049999,44.529358,557800
2020-10-08,45.310001,46.150002,44.779999,46.060001,45.527687,616400
2020-10-09,46.299999,46.349998,45.360001,45.500000,44.974155,935900
2020-10-12,45.720001,46.200001,45.349998,46.000000,45.468376,582300
2020-10-13,45.740002,45.869999,44.959999,44.980000,44.460163,600500
2020-10-14,45.020000,45.990002,45.020000,45.599998,45.073002,623500
2020-10-15,45.000000,45.529999,44.919998,45.400002,44.875317,657300
2020-10-16,45.570000,46.150002,45.029999,45.680000,45.152077,830000
2020-10-19,45.880001,45.880001,44.400002,44.599998,44.084557,512300
2020-10-20,45.110001,45.209999,44.660000,44.709999,44.193287,679200
2020-10-21,44.709999,46.549999,44.669998,45.669998,45.142193,910100
2020-10-22,47.000000,50.439999,46.880001,48.340000,47.781338,2429700
2020-10-23,48.650002,49.580002,48.180000,49.150002,48.581974,1633900
2020-10-26,48.700001,48.759998,47.310001,47.610001,47.059772,1241300
2020-10-27,47.669998,48.119999,47.029999,47.540001,46.990578,1453800
2020-10-28,46.639999,46.759998,44.759998,44.840000,44.321785,937400
2020-10-29,44.700001,45.119999,43.950001,44.799999,44.282246,1010800
2020-10-30,45.080002,47.250000,44.939999,47.189999,46.644627,1720100
2020-11-02,47.560001,48.959999,46.549999,47.700001,47.148735,1448900
2020-11-03,48.029999,48.889999,47.680000,47.770000,47.217922,717800
2020-11-04,48.009998,49.220001,47.349998,48.110001,47.553993,1709500
2020-11-05,45.169998,47.330002,44.520000,46.610001,46.071331,3004000
2020-11-06,46.660000,46.759998,45.439999,45.740002,45.211384,853500
2020-11-09,48.660000,54.990002,48.590000,51.400002,50.805973,2404600
2020-11-10,51.470001,53.259998,51.130001,52.959999,52.347942,1821100
2020-11-11,52.919998,53.119999,49.590000,49.849998,49.273884,1408400
2020-11-12,49.830002,50.150002,48.580002,49.049999,48.483128,982200
2020-11-13,49.560001,51.959999,49.180000,51.360001,50.766434,2263600
2020-11-16,52.770000,53.410000,49.220001,49.680000,49.105846,1240800
2020-11-17,47.730000,48.959999,46.980000,48.900002,48.334866,1139400
2020-11-18,49.130001,49.869999,48.369999,48.910000,48.344753,1274500
2020-11-19,48.439999,49.259998,47.639999,48.869999,48.305210,1288100
2020-11-20,48.619999,49.810001,48.060001,49.400002,48.829086,1228200
2020-11-23,49.750000,50.830002,49.560001,50.459999,49.876835,1301400
2020-11-24,51.020000,51.830002,50.490002,51.549999,50.954235,981800
2020-11-25,51.189999,51.540001,50.540001,51.320000,50.726898,677100
